Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/05  21:00:00,372.530313405,75.7303620347,0.0,0.0,220.879908,53.238744,230.467700526,216.957286968,4.83426,8.67615355759
 01/05  22:00:00,117.980311753,0.0,0.0,0.0,43.513341876,52.539744,13.5097471944,0.0,4.83426,8.67548719445
 01/05  23:00:00,117.714119539,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/05  24:00:00,118.703476761,0.0,0.0,0.0,43.513341876,52.539744,13.4661758286,0.0,4.83426,8.63191582864
 01/06  01:00:00,117.773770142,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  02:00:00,117.768801747,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  03:00:00,117.761468379,0.0,0.0,0.0,43.513341876,52.539744,13.4524990077,0.0,4.83426,8.61823900768
 01/06  04:00:00,117.741325158,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  05:00:00,119.845954175,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  06:00:00,119.511630134,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/06  07:00:00,196.033231768,75.7303620347,0.0,0.0,43.513341876,53.238744,1062.65322823,1049.20060109,4.83426,8.61836714214
 01/06  08:00:00,354.739759239,75.7303620347,0.0,0.0,220.879908,53.238744,831.096028874,808.716271285,4.83426,17.5454975895
 01/06  09:00:00,446.866918813,75.7303620347,0.0,0.0,220.879908,145.652643033,523.102654538,451.534017893,36.25695,35.3116866447
 01/06  10:00:00,477.29538681,75.7883701651,29.5793948078,0.0,220.879908,145.652643033,306.554233268,234.617912008,36.25695,35.6793712597
 01/06  11:00:00,593.848506968,76.6103656712,137.371684136,0.0,220.879908,151.653867033,161.066048134,68.0736651926,48.3426,44.6497829413
